timestamp	commit	skill	old_score	new_score	status	dimension	note	eval_mode
2026-08-18T09:00	baseline	bias-strategy	-	65.0	baseline	-	主流程 triage；dim8=dry_run；无 🔴 检查点/无三段式失败表	dry_run
2026-08-18T09:00	baseline	convergence-debugging	-	65.0	baseline	-	主流程 triage；dim8=dry_run	dry_run
2026-08-18T11:00	fa768e7	convergence-debugging	65.0	1-0 better	keep	失败模式编码+检查点	paired 主流程评估 fallback；dim3 失败模式升级为三段式表（低阻区/KCL/bandgap/绝缘宏/RTG/高阻六类）、dim4 加 3 个 🔴 CHECKPOINT；无回退；估算绝对分 65.0→69.8	paired
2026-08-18T11:15	d427b1d	convergence-debugging	69.8	1-0 better	keep	可执行具体性+工作流	paired 主流程评估 fallback；E 段补输入/输出速查表 + newton_par/change_variable/慢瞬态/bandgap_reduction/auto_finish=rtgain 真实语句示例；dim5 提升、dim2 随簇提升；估算绝对分 69.8→72.8	paired
2026-08-18T11:30	11c0672	convergence-debugging	72.8	dim8: 6→8	full_test	实测表现	gaas10 全流程实测：误差表单调下降（eqns 1.08e-3→2.08e-12）、12 数据集收敛、light=9.141 mW 与基线一致；E 段定位→验证链路可执行；估算绝对分 72.8→77.4	full_test
2026-08-18T09:00	baseline	csuprem-complex-structure-modeling	-	81.0	baseline	-	已在 darwin 第一轮优化（73.2→81），此处为当前分	dry_run
2026-08-18T09:00	baseline	dfb-dbr-grating-design	-	66.8	baseline	-	主流程 triage；dim8=dry_run；篇幅较长 dim5 略高	dry_run
2026-08-18T09:00	baseline	gain-preview-workflow	-	65.0	baseline	-	主流程 triage；dim8=dry_run	dry_run
2026-08-18T10:15	3c72335	gain-preview-workflow	65.0	1-0 better	keep	失败模式编码+检查点	paired 主流程评估 fallback；dim3 失败模式升级为三段式表（含增益峰偏离/RTG 对齐/预览 vs 主仿真差异）、dim4 加 🔴 CHECKPOINT；无回退；估算绝对分 65.0→69.8	paired
2026-08-18T10:30	8b83878	gain-preview-workflow	69.8	1-0 better	keep	可执行具体性+工作流	paired 主流程评估 fallback；E 段补输入/输出速查表 + gain_wavel/sp.rate_wavel/current_conc/rtgain_phase 真实语句示例（gaas10.gain/inp13.gain）；dim5 提升、dim2 随簇提升；估算绝对分 69.8→72.8	paired
2026-08-18T10:45	d4b17c6	gain-preview-workflow	72.8	dim8: 6→8	full_test	实测表现	inp13.gain 真跑：增益峰 +4805 1/m @1.291 µm、透明波长≈1.31 µm（对齐设计 1.3 µm）、子带/复合系数输出正常；E 段工作流端到端可执行；估算绝对分 72.8→77.4	full_test
2026-08-18T09:00	baseline	gan-wurtzite-mqw	-	65.0	baseline	-	主流程 triage；dim8=dry_run	dry_run
2026-08-18T11:45	0e9f1e9	gan-wurtzite-mqw	65.0	1-0 better	keep	失败模式编码+检查点	paired 主流程评估 fallback；dim3 失败模式升级为三段式表（基晶格/self_consistent/独立阱/q_transport/slow transient/波长偏差/晶面七类）、dim4 加 3 个 🔴 CHECKPOINT；无回退；估算绝对分 65.0→69.8	paired
2026-08-18T12:00	7ff5de1	gan-wurtzite-mqw	69.8	1-0 better	keep	可执行具体性+工作流	paired 主流程评估 fallback；E 段补输入/输出速查表 + lattice_base/set_polarization/self_consistent/independent_mqw/q_transport/慢瞬态真实语句示例；dim5 提升、dim2 随簇提升；估算绝对分 69.8→72.8	paired
2026-08-18T12:15	f49002d	gan-wurtzite-mqw	72.8	dim8: 6→8	full_test	实测表现	blue_LD shuji.gain 真跑：增益峰 0.43 µm（蓝光）、透明密度≈1.7e25 m⁻³、纤锌矿能级 CH=0 特征正确；E 段工作流端到端可执行；估算绝对分 72.8→77.4	full_test
2026-08-18T09:00	baseline	material-macros	-	65.0	baseline	-	主流程 triage；dim8=dry_run	dry_run
2026-08-18T09:00	baseline	mesh-quality	-	63.2	baseline	-	主流程 triage；dim8=dry_run；篇幅最短 dim5 略低	dry_run
2026-08-18T09:30	ff9452d	mesh-quality	63.2	1-0 better	keep	失败模式编码+检查点	paired 主流程评估 fallback（judge spawn 已知不可用）；dim3 失败模式升级为三段式表、dim4 加 🔴 CHECKPOINT；无回退；估算绝对分 63.2→68.0	paired
2026-08-18T09:45	36ef46b	mesh-quality	68.0	1-0 better	keep	可执行具体性+工作流	paired 主流程评估 fallback；E 段补输入/输出速查表 + put_mesh/double_mesh/regrid 真实示例；dim5 提升、dim2 随簇提升；估算绝对分 68.0→71.0	paired
2026-08-18T10:00	2af36aa	mesh-quality	71.0	dim8: 6→8	full_test	实测表现	gaas10 网格收敛性 full_test：网格 128→258 点，λ 0.83407295→0.83406887 µm（<0.001%）、P 9.141→9.140 mW（<0.01%）；E 段工作流端到端可执行；估算绝对分 71.0→75.6	full_test
2026-08-18T09:00	baseline	pics3d-laser-workflow	-	66.8	baseline	-	主流程 triage；dim8=dry_run；篇幅较长 dim5 略高	dry_run
2026-08-18T12:30	3971225	pics3d-laser-workflow	66.8	1-0 better	keep	失败模式编码+检查点	paired 主流程评估 fallback；dim3 失败模式升级为三段式表（RTG≥1/init_wave 忽略/终止值/VCSEL 合并/示例选择/宏加载七类）、dim4 加 3 个 🔴 CHECKPOINT；无回退；估算绝对分 66.8→71.6	paired
2026-08-18T12:45	0195c7b	pics3d-laser-workflow	71.6	1-0 better	keep	可执行具体性+工作流	paired 主流程评估 fallback；E 段补输入/输出速查表 + equilibrium/auto_finish=current_1/auto_finish=rtgain/solve_rtg 真实语句示例（gaas10.sol/inp13.sol）；dim5 提升、dim2 随簇提升；估算绝对分 71.6→73.6	paired
2026-08-18T13:00	6966ac5	pics3d-laser-workflow	73.6	dim8: 6→7	full_test(partial)	实测表现	FP 三步偏置真跑通过（gaas10：12 数据集收敛、L-I 阈值~2mA）；RTG 配置审查与 inp13.gain 数据实测；inp13 3D 求解本机崩溃（环境限制）；dim8 6→7；估算绝对分 73.6→75.9	full_test
2026-08-18T13:15	ca637bf	bias-strategy	65.0	1-0 better	keep	失败模式+检查点+具体性	批处理模式 R1+R2 合并；dim3 三段式表（KCL/电压过高/激射钳位/多电极）、dim4 加 3 个 🔴 CHECKPOINT、dim5 输入输出表+真实语句示例；无回退；估算 65.0→72.8	paired
2026-08-18T13:30	b1cba91	bias-strategy	72.8	dim8: 6→8	full_test	实测表现	复用 gaas10 真跑数据：equilibrium→电压 auto_finish=current_1→电流 12 数据集收敛、p 侧电流为负、KCL 守恒；inp13 RTG 序列配置审查一致；估算 72.8→77.4	full_test
2026-08-18T13:45	5b04b8f	material-macros	65.0	1-0 better	keep	失败模式+检查点+具体性	批处理模式 R1+R2 合并；dim3 三段式表（默认库/80字符/绝缘宏/单位/重名五类）、dim4 加 3 个 🔴 CHECKPOINT、dim5 输入输出表+material_lib/use_macrofile/load_macro 示例；估算 65.0→72.8	paired
2026-08-18T14:00	dee7076	material-macros	72.8	dim8: 6→8	full_test	实测表现	gaas10.mater 结构审查 + gaas10/inp13/shuji .gain include .mater 真跑通过；单位/默认库保护确认；估算 72.8→77.4	full_test
2026-08-18T09:00	baseline	post-processing	-	65.0	baseline	-	主流程 triage；dim8=dry_run	dry_run
2026-08-18T09:00	baseline	qw-model-selection	-	65.0	baseline	-	主流程 triage；dim8=dry_run	dry_run
2026-08-18T09:00	baseline	vcsel-modeling	-	66.8	baseline	-	主流程 triage；dim8=dry_run；篇幅较长 dim5 略高	dry_run
